# posição x = 0.85 m;;
tempo [s];Z [m];w [m/s]
0.033;0.320251;-0.02570202
0.066;0.319117;-0.015585859
0.099;0.318977;-0.007440909
0.132;0.319012;-0.007109428
0.165;0.318855;-0.015498316
0.198;0.317162;-0.004214646
0.231;0.318768;0.00430303
0.264;0.317982;-0.003362795
0.297;0.317843;0.003429293
0.33;0.31978;-0.028738215
0.363;0.315331;-0.041054714
0.396;0.315365;-0.009478956
0.429;0.315086;0.012368687
0.462;0.317215;0.008388047
0.495;0.316482;-0.016904882
0.528;0.314371;0.001685185
0.561;0.315714;0.040324916
0.594;0.318994;0.029082492
0.627;0.318663;-0.011933502
0.66;0.316971;-0.023808923
0.693;0.316691;-0.022342593
0.726;0.31547;-0.012073232
0.759;0.315749;0.002670875
0.792;0.314702;0.037921717
0.825;0.319605;0.036749158
0.858;0.318314;0.002749158
0.891;0.318506;-0.001878788
0.924;0.318349;-0.007888047
0.957;0.317965;-0.008241582
0.99;0.317075;0.008739057
1.023;0.31882;0.017597643
1.056;0.319047;0.004377104
1.089;0.319099;-0.011850168
1.122;0.318105;-0.023922559
1.155;0.317564;-0.032036195
1.188;0.315243;-0.018347643
1.221;0.315627;0.012731481
1.254;0.317162;0.014969697
1.287;0.317564;-0.00685101
1.32;0.315959;-0.010925926
1.353;0.315767;0.013416667
1.386;0.317511;0.021863636
1.419;0.317773;0.013969697
1.452;0.318506;0.002117845
1.485;0.317843;-0.006930135
1.518;0.317372;0.003643098
1.551;0.31807;0.012833333
1.584;0.318593;0.010542929
1.617;0.319797;-0.018223064
1.65;0.316901;-0.034319865
1.683;0.316238;-0.014585017
1.716;0.316447;-0.003186027
1.749;0.315767;0.014468855
1.782;0.317442;0.027137205
1.815;0.318628;0.011641414
1.848;0.317965;0.001406566
1.881;0.318174;0.002396465
1.914;0.318349;-0.001901515
1.947;0.318803;-0.02295202
1.98;0.316308;-0.024856061
2.013;0.315679;0.0088367
2.046;0.316552;0.046715488
2.079;0.322152;-0.001456229
2.112;0.316604;-0.054073232
2.145;0.315156;-0.019093434
2.178;0.315679;0.013218855
2.211;0.317023;0.02298569
2.244;0.317581;0.016183502
2.277;0.318122;0.006521044
2.31;0.317895;0.000473064
2.343;0.317843;0.004001684
2.376;0.31814;0.015012626
2.409;0.318419;0.037786195
2.442;0.319239;0.084191919
2.475;0.326741;0.053732323
2.508;0.3262;-0.063665825
2.541;0.318785;-0.08598569
2.574;0.318227;-0.042458754
2.607;0.317424;-0.024367003
2.64;0.316796;-0.010632997
2.673;0.316761;-0.002582492
2.706;0.316203;0.014263468
2.739;0.318192;0.016302189
2.772;0.318192;-0.006302189
2.805;0.317302;-0.017934343
2.838;0.316639;-0.018138889
2.871;0.315976;-0.010282828
2.904;0.315522;0.009929293
2.937;0.316587;0.029180976
2.97;0.318174;0.026270202
3.003;0.318994;0.003617845
3.036;0.318384;-0.01801431
3.069;0.316936;-0.014439394
3.102;0.316883;0.00637037
3.135;0.317581;0.02229798
3.168;0.318768;0.024557239
3.201;0.319605;0.012981481
3.234;0.319902;-0.006744949
3.267;0.318837;-0.016908249
3.3;0.318331;-0.013680976
3.333;0.317791;-0.004780303
3.366;0.318262;-0.001909091
3.399;0.317686;0.00026431
3.432;0.318297;0.001157407
3.465;0.317616;0.004005051
3.498;0.318855;-0.001737374
3.531;0.318017;-0.020329966
3.564;0.317005;-0.024478114
3.597;0.315889;-0.014095118
3.63;0.315976;0.000734007
3.663;0.316325;0.00298064
3.696;0.316447;-0.002335017
3.729;0.316639;-0.018824916
3.762;0.314057;-0.005137205
3.795;0.316046;0.016348485
3.828;0.315959;0.016933502
3.861;0.317023;0.017622896
3.894;0.317599;0.004066498
3.927;0.317337;-0.009638047
3.96;0.31636;-0.007099327
3.993;0.316848;-0.001649832
4.026;0.316185;0.006478114
4.059;0.317232;0.015705387
4.092;0.317529;0.016424242
4.125;0.31807;0.022027778
4.158;0.319256;0.019029461
4.191;0.319605;0.010203704
4.224;0.319692;0.00604798
4.257;0.319535;0.010234848
4.29;0.321332;-0.008387205
4.323;0.319657;-0.041885522
4.356;0.316499;-0.022335017
4.389;0.318122;0.000926768
4.422;0.317668;-0.002215488
4.455;0.317808;-0.00697138
4.488;0.317459;-0.018425926
4.521;0.316971;-0.034569024
4.554;0.313551;-0.010883838
4.587;0.316116;0.016708754
4.62;0.316848;-0.009297138
4.653;0.314406;-0.010891414
4.686;0.315331;0.006138047
4.719;0.315976;-0.001794613
4.752;0.314685;0.003526094
4.785;0.315767;0.017021044
4.818;0.316447;0.014261785
4.851;0.317128;0.001705387
4.884;0.316238;-0.003190236
4.917;0.316011;0.014887205
4.95;0.31786;0.017521886
4.983;0.317791;0.004626263
5.016;0.317546;0.005813131
5.049;0.318;0.011675084
5.082;0.318593;0.011026094
5.115;0.318837;0.006286195
5.148;0.319169;-0.003260943
5.181;0.318488;-0.008709596
5.214;0.318366;-0.006835859
5.247;0.317948;-0.001313973
5.28;0.31814;0.00751936
5.313;0.318663;0.008693603
5.346;0.319117;-0.002189394
5.379;0.318733;-0.019672559
5.412;0.317546;-0.028968855
5.445;0.316499;-0.026773569
5.478;0.3154;-0.009717172
5.511;0.315505;0.014428451
5.544;0.316308;0.03487963
5.577;0.319849;0.001807239
5.61;0.316465;-0.034435185
5.643;0.315645;-0.019478956
5.676;0.315714;-0.01214899
5.709;0.314214;0.012777778
5.742;0.316831;0.02668266
5.775;0.317197;0.008946128
5.808;0.316936;0.000383838
5.841;0.316831;0.001890572
5.874;0.317546;-0.00668266
5.907;0.315819;-0.000803872
5.94;0.317721;0.00014899
5.973;0.316011;-0.002657407
6.006;0.316866;0.012412458
6.039;0.31732;0.015300505
6.072;0.317581;0.024228956
6.105;0.319204;0.02152862
6.138;0.319884;-0.004039562
6.171;0.318785;-0.025138047
6.204;0.31732;-0.021545455
6.237;0.317075;-0.007404882
6.27;0.31718;-0.000792929
6.303;0.31711;0.00210101
6.336;0.317372;0.001601852
6.369;0.317372;-0.00325
6.402;0.317197;-0.009270202
6.435;0.316569;-0.009866162
6.468;0.316517;-0.00848569
6.501;0.315889;-0.003395623
6.534;0.31622;0.003490741
6.567;0.316342;0.004041246
6.6;0.316517;0.001986532
6.633;0.316639;-0.005520202
6.666;0.316395;-0.016420034
6.699;0.315051;-0.011967172
6.732;0.314633;0.017231481
6.765;0.316779;0.028179293
6.798;0.317738;0.006944444
6.831;0.317529;-0.024260101
6.864;0.314493;-0.012420875
6.897;0.316971;-0.001876263
6.93;0.314441;0.00964899
6.963;0.316936;0.033234007
6.996;0.317756;0.024478114
7.029;0.319518;-0.008040404
7.062;0.316499;-0.024835859
7.095;0.316639;-0.0051633
7.128;0.317093;-0.003888047
7.161;0.315331;0.022522727
7.194;0.318837;0.036238215
7.227;0.319657;-0.000393939
7.26;0.318506;-0.029675926
7.293;0.316517;-0.027357744
7.326;0.316046;-0.004095118
7.359;0.316709;0.008037037
7.392;0.31732;-0.000819865
7.425;0.316622;-0.009340909
7.458;0.316273;-0.008165825
7.491;0.315645;0.004786195
7.524;0.317564;-0.00548064
7.557;0.315069;-0.010003367
7.59;0.316046;0.007076599
7.623;0.315976;0.01420202
7.656;0.317058;0.019739899
7.689;0.317407;0.018854377
7.722;0.318314;0.016207071
7.755;0.318837;0.002977273
7.788;0.318558;-0.011675926
7.821;0.31786;-0.018723064
7.854;0.31704;-0.015588384
7.887;0.316151;0.005661616
7.92;0.317791;0.017152357
7.953;0.318;0.007194444
7.986;0.318105;-0.000502525
8.019;0.318401;-0.01919697
8.052;0.316011;-0.016165825
8.085;0.317285;-0.011367003
8.118;0.315976;-0.022588384
8.151;0.315226;-0.017446128
8.184;0.314441;-0.001442761
8.217;0.314807;0.022977273
8.25;0.316534;0.031218855
8.283;0.317668;0.01708165
8.316;0.31711;0.014087542
8.349;0.318558;0.012209596
8.382;0.318297;0.001513468
8.415;0.318244;-0.002148148
8.448;0.318628;-0.01543771
8.481;0.317738;-0.036513468
8.514;0.314039;-0.002438552
8.547;0.317546;0.031063973
8.58;0.318314;0.008150673
8.613;0.318017;-0.017712963
8.646;0.31622;-0.021497475
8.679;0.316639;-0.019939394
8.712;0.314563;-0.006710438
8.745;0.315662;0.017886364
8.778;0.316604;0.016978956
8.811;0.317686;-0.008410774
8.844;0.315959;-0.031559764
8.877;0.314406;-0.019095118
8.91;0.314144;0.010603535
8.943;0.315069;0.040434343
8.976;0.318105;0.033234848
9.009;0.317878;0.006722222
9.042;0.31793;-0.006184343
9.075;0.31725;-0.01137037
9.108;0.317162;-0.012720539
9.141;0.316203;-0.007505051
9.174;0.316534;0.002289562
9.207;0.316377;0.010007576
9.24;0.317285;0.01397138
9.273;0.318035;0.000996633
9.306;0.316796;0.00162963
9.339;0.317093;0.026153199
9.372;0.319971;0.014671717
9.405;0.318733;-0.014036195
9.438;0.317686;-0.01176431
9.471;0.318035;-0.00815404
9.504;0.31786;-0.018577441
9.537;0.315732;-0.00428367
9.57;0.317721;0.004671717
9.603;0.317285;-0.019478114
9.636;0.316098;-0.034577441
9.669;0.314894;-0.043925926
9.702;0.311841;-0.01369697
9.735;0.313813;0.021794613
9.768;0.314266;0.03147138
9.801;0.316238;0.026861111
9.834;0.316133;0.012672559
9.867;0.317581;-0.013477273
9.9;0.315645;-0.043642256
9.933;0.312644;-0.017814815
9.966;0.313429;0.034539562
9.999;0.316936;0.038602694
10.032;0.316848;0.015340067
10.065;0.316377;0.02658165
10.098;0.319535;0.016451178
10.131;0.317581;0.003677609
10.164;0.31889;0.011107744
10.197;0.319518;-0.011995791
10.23;0.317599;-0.022776094
10.263;0.317948;-0.030386364
10.296;0.315802;-0.037205387
10.329;0.313917;-0.001940236
10.362;0.315767;0.030167508
10.395;0.317093;0.029161616
10.428;0.318174;0.012142256
10.461;0.318087;-0.010862795
10.494;0.316273;-0.003037037
10.527;0.317878;0.006649832
10.56;0.317616;-0.005540404
10.593;0.31704;-0.006091751
10.626;0.317128;-0.004359428
10.659;0.316482;0.00441835
10.692;0.317616;0.00690404
10.725;0.317721;-0.009838384
10.758;0.31643;-0.011813131
10.791;0.316185;0.005633838
10.824;0.317005;0.018009259
10.857;0.318105;0.009664141
10.89;0.317982;-0.009385522
10.923;0.31718;-0.019838384
10.956;0.316133;-0.01345202
10.989;0.315976;0.00335101
11.022;0.316465;0.017149832
11.055;0.317511;0.018380471
11.088;0.317982;0.009063131
11.121;0.318192;-0.003143098
11.154;0.317668;-0.012295455
11.187;0.317005;-0.010292088
11.22;0.317075;-0.008186869
11.253;0.316308;0.000209596
11.286;0.316744;0.012579966
11.319;0.317511;0.014622896
11.352;0.319378;-0.026005892
11.385;0.314214;-0.026900673
11.418;0.317023;-0.010703704
11.451;0.314249;-0.01025
11.484;0.315767;0.005327441
