# posição x = 0.95 m
tempo [s];Z [m];w [m/s]
0.033;0.316177;0.007968013
0.066;0.316701;-0.000801347
0.099;0.316264;-0.007942424
0.132;0.315933;-0.007961279
0.165;0.315671;-0.005734007
0.198;0.315339;0.003244949
0.231;0.316142;0.004748316
0.264;0.315601;0.005840067
0.297;0.316876;-0.002497475
0.33;0.315601;-0.014463805
0.363;0.315217;-0.007290404
0.396;0.315147;-0.000410774
0.429;0.315252;0.005130471
0.462;0.315898;-0.000678451
0.495;0.315182;-0.005707912
0.528;0.315042;0.004609428
0.561;0.315356;0.017284512
0.594;0.315758;0.037967172
0.627;0.319582;0.014021044
0.66;0.316788;-0.013096801
0.693;0.317015;0.001957071
0.726;0.317452;0.005157407
0.759;0.317818;-0.0016633
0.792;0.317399;-0.011648148
0.825;0.316649;-0.011281145
0.858;0.316387;-0.003425926
0.891;0.316893;-0.006159933
0.924;0.315933;-0.007690236
0.957;0.31595;0.001566498
0.99;0.316264;0.005643939
1.023;0.316369;0.008296296
1.056;0.316841;0.008970539
1.089;0.317103;0.005329966
1.122;0.317137;0.002612795
1.155;0.317382;-0.002893098
1.188;0.316893;-0.007009259
1.221;0.316806;-0.007792088
1.254;0.316491;-0.010494949
1.287;0.315898;-0.007877104
1.32;0.31595;-0.002986532
1.353;0.315915;-0.002116162
1.386;0.315077;0.015199495
1.419;0.317347;0.018506734
1.452;0.317487;-0.008704545
1.485;0.316456;-0.027869529
1.518;0.314623;-0.019675926
1.551;0.314955;-0.001643939
1.584;0.31492;0.007127946
1.617;0.315182;0.019455387
1.65;0.316683;0.017415825
1.683;0.316701;0.004691919
1.716;0.316631;7.66E-05
1.749;0.316841;-0.006335017
1.782;0.315985;-0.006590067
1.815;0.316107;-0.001516835
1.848;0.316753;-0.017414983
1.881;0.315112;-0.032493266
1.914;0.313104;-0.010360269
1.947;0.31375;0.030104377
1.98;0.317295;0.014787037
2.013;0.314431;0.001940236
2.046;0.316841;0.00260101
2.079;0.315339;-0.012436869
2.112;0.314728;0.006449495
2.145;0.316369;0.009286195
2.178;0.315723;0.004335859
2.211;0.316177;0.007878788
2.244;0.316404;0.008541246
2.277;0.31719;-0.000397306
2.31;0.315496;0.011726431
2.343;0.31808;0.02059596
2.376;0.317714;0.016380471
2.409;0.318168;0.029487374
2.442;0.317976;0.074990741
2.475;0.328418;-0.011968013
2.508;0.317155;-0.09886532
2.541;0.316596;-0.049606902
2.574;0.315601;-0.03193771
2.607;0.314239;-0.001148148
2.64;0.315566;0.019087542
2.673;0.316456;0.014137205
2.706;0.316526;0.006252525
2.739;0.316544;0.005282828
2.772;0.316841;0.006760101
2.805;0.31705;0.007303872
2.838;0.317225;0.008805556
2.871;0.317836;0.001617003
2.904;0.317871;-0.018695286
2.937;0.316841;-0.042600168
2.97;0.313575;-0.026814815
3.003;0.314745;0.000956229
3.036;0.314553;0.007207071
3.069;0.314798;0.019505892
3.102;0.316334;0.016447811
3.135;0.316649;0.001424242
3.168;0.315007;0.020893939
3.201;0.316264;0.077192761
3.234;0.32379;0.038393939
3.267;0.320717;-0.050118687
3.3;0.316788;-0.047177609
3.333;0.316841;-0.018388047
3.366;0.316753;-0.013378788
3.399;0.316212;-0.011377946
3.432;0.315775;-0.008170034
3.465;0.313523;0.044631313
3.498;0.322027;0.013292088
3.531;0.315514;-0.044873737
3.564;0.315601;-0.016566498
3.597;0.314606;0.010239899
3.63;0.31705;0.02170202
3.663;0.316945;0.003306397
3.696;0.316858;-0.006155724
3.729;0.316474;-0.013272727
3.762;0.315653;-0.009642256
3.795;0.315723;-0.004244949
3.828;0.315793;-0.007022727
3.861;0.315444;-0.013127104
3.894;0.313645;0.011888047
3.927;0.316666;0.02523569
3.96;0.316561;0.00737963
3.993;0.316544;0.000660774
4.026;0.316229;0.000972222
4.059;0.317557;-0.019355219
4.092;0.314745;-0.033320707
4.125;0.314152;-0.013949495
4.158;0.314099;0.001478956
4.191;0.313994;0.022490741
4.224;0.31616;0.023606061
4.257;0.316491;0.006217172
4.29;0.315898;0.001925926
4.323;0.314326;0.050029461
4.356;0.322847;0.008
4.389;0.315706;-0.054041246
4.422;0.315409;-0.018228956
4.455;0.315042;0.007638889
4.488;0.316491;0.022064815
4.521;0.317714;-0.000979798
4.554;0.31616;-0.017950337
4.587;0.315618;-0.010894781
4.62;0.315496;-0.001746633
4.653;0.315566;0.006823232
4.686;0.315968;0.012680976
4.719;0.316683;0.01018266
4.752;0.316823;0.000492424
4.785;0.316649;-0.008164983
4.818;0.316649;-0.024117003
4.851;0.314414;-0.021664983
4.884;0.314641;-0.00239899
4.917;0.314693;0.007509259
4.95;0.315025;0.01816835
4.983;0.31616;0.017858586
5.016;0.316876;-0.000193603
5.049;0.31609;-0.015688552
5.082;0.315007;-0.008159091
5.115;0.315147;0.011775253
5.148;0.316247;0.020124579
5.181;0.316841;0.017095118
5.214;0.317452;0.009933502
5.247;0.317417;0.004522727
5.28;0.317661;0.002587542
5.313;0.317522;0.002941077
5.346;0.317696;0.005675926
5.379;0.318238;-0.001171717
5.412;0.318168;-0.022944444
5.445;0.316195;-0.026388889
5.478;0.316002;-0.020401515
5.511;0.313733;0.011232323
5.544;0.319355;-0.021958754
5.577;0.312598;-0.06285101
5.61;0.312126;-0.024846801
5.643;0.311951;-0.005143939
5.676;0.311742;0.019787879
5.709;0.312877;0.043889731
5.742;0.315863;0.032891414
5.775;0.316561;-0.015053872
5.808;0.313348;-0.023172559
5.841;0.313052;0.021319865
5.874;0.315968;0.038244949
5.907;0.316614;0.027070707
5.94;0.317452;0.021085859
5.973;0.317626;0.030088384
6.006;0.31843;0.056108586
6.039;0.321608;0.065479798
6.072;0.327929;-0.054625421
6.105;0.316002;-0.115854377
6.138;0.314623;-0.030920034
6.171;0.314606;0.04319697
6.204;0.321555;0.014797138
6.237;0.316561;-0.04947138
6.27;0.315182;-0.036271044
6.303;0.314309;-0.021078283
6.336;0.314099;-0.00543771
6.369;0.314152;0.001367003
6.402;0.313488;0.022617003
6.435;0.316596;0.019373737
6.468;0.315444;-0.002292088
6.501;0.315147;0.006491582
6.534;0.316526;8.42E-05
6.567;0.315356;-0.008859428
6.6;0.315182;0.000650673
6.633;0.315601;0.004847643
6.666;0.315653;0.00733165
6.699;0.316334;0.000605219
6.732;0.315112;0.005987374
6.765;0.317679;-0.010226431
6.798;0.314536;-0.027190236
6.831;0.31396;0.005962121
6.864;0.31581;0.017664141
6.897;0.315409;0.019594276
6.93;0.317539;0.005616162
6.963;0.316614;-0.029734848
6.996;0.314291;-0.027970539
7.029;0.314344;-0.013535354
7.062;0.312912;0.013708754
7.095;0.316491;0.007584175
7.128;0.314239;-0.020218855
7.161;0.313733;-0.012200337
7.194;0.313191;0.001835859
7.227;0.314309;0.007717172
7.26;0.314396;-0.004688552
7.293;0.313017;0.007007576
7.326;0.31471;0.022747475
7.359;0.315234;0.022047138
7.392;0.315915;0.023694444
7.425;0.316823;0.022712121
