# posição x = 0.80 m;;
tempo [s];Z [m];w [m/s]
0.033;0.322165;-0.000883838
0.066;0.3222;-0.003159091
0.099;0.32199;-0.005309091
0.132;0.32185;-0.006944444
0.165;0.321553;-0.011323232
0.198;0.321064;-0.014691077
0.231;0.321256;-0.032632997
0.264;0.318024;-0.024896465
0.297;0.318688;0.006513468
0.33;0.319037;0.019722222
0.363;0.321169;0.001031987
0.396;0.319946;-0.040093434
0.429;0.316591;-0.028121212
0.462;0.31736;0.00447138
0.495;0.31729;0.026738215
0.528;0.32054;0.01072138
0.561;0.318408;-0.01660101
0.594;0.31764;0.001826599
0.627;0.318426;0.025835017
0.66;0.32033;0.024173401
0.693;0.319928;0.019341751
0.726;0.322462;-0.006453704
0.759;0.319142;-0.020058923
0.792;0.319282;0.014888047
0.825;0.320977;0.028844276
0.858;0.321973;0.021547138
0.891;0.322567;0.005161616
0.924;0.322235;-0.009664141
0.957;0.321571;-0.014239057
0.99;0.321274;-0.014787037
1.023;0.320557;-0.012490741
1.056;0.319736;0.005296296
1.089;0.321623;0.004270202
1.122;0.321082;-0.022986532
1.155;0.318845;-0.008402357
1.188;0.319369;0.030400673
1.221;0.319352;0.098141414
1.254;0.331984;0.00927862
1.287;0.32047;-0.093788721
1.32;0.319264;-0.032057239
1.353;0.320121;-0.005023569
1.386;0.320121;-0.001430135
1.419;0.319998;-0.005767677
1.452;0.319719;-0.008223064
1.485;0.318513;0.019804714
1.518;0.320854;0.046810606
1.551;0.321518;0.068140572
1.584;0.328874;-0.002217172
1.617;0.321099;-0.065386364
1.65;0.320732;-0.028191919
1.683;0.320016;-0.003855219
1.716;0.320959;0.011510943
1.749;0.321518;-0.000117845
1.782;0.320994;-0.014498316
1.815;0.32047;-0.025955387
1.848;0.318915;-0.02325
1.881;0.318356;-0.002896465
1.914;0.318321;0.026869529
1.947;0.320942;0.033335859
1.98;0.321483;0.011332492
2.013;0.321413;-0.006206229
2.046;0.320889;-0.017686869
2.079;0.319876;-0.015332492
2.112;0.319492;-0.000691077
2.145;0.319736;0.015676768
2.178;0.320872;0.023357744
2.211;0.321903;0.013486532
2.244;0.321012;0.01955303
2.277;0.323562;0.015715488
2.31;0.322776;-0.007822391
2.343;0.322322;-0.012838384
2.376;0.322409;-0.027925926
2.409;0.319579;-0.018275253
2.442;0.321012;-0.004589226
2.475;0.320365;-0.017768519
2.508;0.319509;-0.022073232
2.541;0.318496;-0.016341751
2.574;0.318076;0.000409091
2.607;0.318985;0.0055867
2.64;0.318635;0.006792929
2.673;0.319072;0.015740741
2.706;0.319387;0.029266835
2.739;0.32185;0.01911532
2.772;0.321413;-0.011335017
2.805;0.320418;-0.022661616
2.838;0.319072;-0.003326599
2.871;0.319439;0.031282828
2.904;0.320767;0.066300505
2.937;0.328647;-0.022004209
2.97;0.318635;-0.092051347
3.003;0.317622;-0.031834175
3.036;0.31757;0.011961279
3.069;0.318898;0.044925926
3.102;0.32178;0.034604377
3.135;0.321938;0.001503367
3.168;0.321169;-0.012574074
3.201;0.320575;-0.009292929
3.234;0.319824;0.012734007
