# posição x = 0.70 m;;
tempo [s];Z [m];w [m/s]
0.033;0.323538;-0.039486532
0.066;0.321439;-0.014263468
0.099;0.322489;-0.000822222
0.132;0.322121;-0.004845118
0.165;0.322314;-0.01337037
0.198;0.320669;-0.008405724
0.231;0.321667;0.000414141
0.264;0.321089;0.00048569
0.297;0.321422;0.006979798
0.33;0.321509;0.011555556
0.363;0.322576;0.006951178
0.396;0.322454;-0.008984007
0.429;0.320914;0.000556397
0.462;0.322366;0.012872896
0.495;0.323136;-0.008416667
0.528;0.321282;-0.01637037
0.561;0.321387;-0.005773569
0.594;0.320792;0.009641414
0.627;0.321929;0.025426768
0.66;0.323538;0.013505892
0.693;0.322944;-0.001776936
0.726;0.322104;0.015419192
0.759;0.324361;0.023060606
0.792;0.324291;0.012275253
0.825;0.325235;-0.003213805
0.858;0.324378;-0.024646465
0.891;0.322839;-0.024250842
0.924;0.322069;-0.005627104
0.957;0.323311;-0.006244949
0.99;0.322034;-0.016892256
1.023;0.321334;-0.007275253
1.056;0.321789;-0.005506734
1.089;0.321404;-0.012455387
1.122;0.321352;-0.026888889
1.155;0.318185;-0.005507576
1.188;0.320617;0.026408249
1.221;0.321877;0.010882155
1.254;0.320442;0.012689394
1.287;0.322279;0.020816498
1.32;0.323573;-0.011460438
1.353;0.320774;-0.022835017
1.386;0.320477;0.005088384
1.419;0.321702;0.020590067
1.452;0.322909;0.00766835
1.485;0.321964;-0.000595118
1.518;0.322576;-0.002196128
1.551;0.321229;0.012345118
1.584;0.324186;0.006853535
1.617;0.321877;-0.004684343
1.65;0.323346;-0.004849327
1.683;0.321964;-0.015096801
1.716;0.322366;-0.022498316
1.749;0.320145;-0.020790404
1.782;0.320267;-0.000164141
1.815;0.320757;0.004856902
1.848;0.321159;-0.002976431
1.881;0.319882;0.004068182
1.914;0.320897;0.023036195
1.947;0.322594;0.012049663
1.98;0.321947;-0.005963805
2.013;0.321352;-0.003083333
2.046;0.321614;0.005429293
2.079;0.321824;0.012161616
2.112;0.322541;0.013741582
2.145;0.323014;0.005728956
2.178;0.323066;-0.000284512
2.211;0.322611;0.000925926
2.244;0.321334;0.041468013
2.277;0.328734;-0.002839226
2.31;0.322069;-0.06727862
2.343;0.320162;-0.027443603
2.376;0.320425;0.011784512
2.409;0.322559;0.014859428
2.442;0.322052;-0.006126263
2.475;0.321212;-0.00521633
2.508;0.321929;-0.00731734
2.541;0.320495;-0.00101431
2.574;0.321527;0.011614478
2.607;0.321894;0.009405724
2.64;0.322419;0.000319024
2.673;0.320949;0.013954545
2.706;0.323713;0.017184343
2.739;0.322821;0.000353535
2.772;0.323678;-0.014208754
2.805;0.321684;-0.022071549
2.838;0.320949;0.004392256
2.871;0.322594;0.013228114
2.904;0.322734;-0.000664983
2.937;0.322681;-0.019262626
2.97;0.320337;-0.009021886
3.003;0.321947;0.007569865
3.036;0.321579;0.005183502
3.069;0.321947;0.009482323
3.102;0.322751;-7.41E-05
3.135;0.321597;3.20E-05
3.168;0.322104;0.016037879
3.201;0.323434;0.013577441
3.234;0.322979;0.009785354
3.267;0.323783;0.010627946
3.3;0.324448;-0.007622896
3.333;0.323049;-0.018005892
3.366;0.322664;-0.013814815
3.399;0.321929;-0.005244949
3.432;0.323206;-0.016462121
3.465;0.321177;-0.034250842
3.498;0.318955;-0.002590909
3.531;0.321387;0.022206229
3.564;0.321859;0.012914141
3.597;0.321002;0.029100168
3.63;0.323976;0.035874579
3.663;0.324921;0.003430976
3.696;0.323871;-0.021796296
3.729;0.322699;-0.025506734
3.762;0.321789;-0.014606902
3.795;0.321667;-0.000882155
3.828;0.322174;0.002636364
3.861;0.321947;0.002368687
3.894;0.321614;0.01793266
3.927;0.323836;0.015138047
3.96;0.323136;-0.002515152
3.993;0.323084;-0.008433502
4.026;0.323049;-0.024871212
4.059;0.321422;-0.035593434
4.092;0.31962;-0.017319024
4.125;0.319795;0.012573232
4.158;0.321579;0.014048822
4.191;0.321562;-0.008096801
4.224;0.319935;-0.00523064
4.257;0.321264;-0.002811448
4.29;0.32039;-0.012572391
4.323;0.31983;-0.007128788
4.356;0.31934;0.011558923
4.389;0.321317;0.013031145
4.422;0.320757;-0.000753367
4.455;0.320512;0.004962121
4.488;0.321072;0.011690236
4.521;0.320984;0.026404882
4.554;0.323399;0.023017677
4.587;0.323031;0.005476431
4.62;0.323626;-0.009803872
4.653;0.321772;-0.008438552
4.686;0.323171;-0.007335017
4.719;0.321352;-0.00997138
4.752;0.322506;-0.012104377
4.785;0.321457;-0.033882155
4.818;0.31871;-0.015299663
4.851;0.31983;0.020484007
4.884;0.321649;0.0216633
4.917;0.32039;0.037876263
4.95;0.323591;0.058284512
4.983;0.32751;-0.005049663
5.016;0.323189;-0.063633838
5.049;0.320372;-0.044816498
5.082;0.319322;0.00416835
5.115;0.321842;0.027181818
5.148;0.322156;0.017989057
5.181;0.322331;0.020351852
5.214;0.324098;0.005233165
5.247;0.323014;-0.018626263
5.28;0.322506;-0.030791246
5.313;0.320862;-0.035351852
5.346;0.318763;-0.001106061
5.379;0.321124;0.02225
5.412;0.321457;0.013180976
5.445;0.322489;-0.010606902
5.478;0.319812;-0.011121212
5.511;0.321089;0.008234848
5.544;0.321072;0.010165825
5.577;0.321667;0.013722222
5.61;0.322366;0.003092593
5.643;0.321702;-0.001882155
5.676;0.322629;-0.016938552
5.709;0.319777;-0.009101852
5.742;0.322139;-0.003031145
5.775;0.31955;0.002090909
5.808;0.322419;0.002630471
5.841;0.320774;-0.023462963
5.874;0.319602;-0.016478956
5.907;0.319497;-0.003695286
5.94;0.319777;0.003683502
5.973;0.319392;0.019164983
6.006;0.3206;0.043046296
6.039;0.323101;0.041038721
6.072;0.324151;0.016638047
6.105;0.324133;-0.008498316
6.138;0.322349;-0.000618687
6.171;0.324623;-0.001196128
6.204;0.322156;0.003315657
6.237;0.323941;0.031267677
6.27;0.325043;0.034712121
6.303;0.326128;0.034106902
6.336;0.328997;-0.011593434
6.369;0.325655;-0.062643939
6.402;0.321947;-0.038332492
6.435;0.323713;-0.022207071
6.468;0.321317;-0.020318182
6.501;0.321107;0.008170034
6.534;0.321929;0.02994697
6.567;0.325025;0.002400673
6.6;0.322209;-0.030374579
6.633;0.321352;-0.018881313
6.666;0.320914;-0.004039562
6.699;0.321124;0.0105
6.732;0.322856;-0.007049663
6.765;0.320337;-0.018885522
6.798;0.32025;0.003245791
6.831;0.322052;-0.008540404
6.864;0.319148;-0.005338384
6.897;0.320669;0.019552189
