# posição x = 0.60 m;;
tempo [s];Z [m];w [m/s]
0.033;0.324346;0.019878788
0.066;0.326078;-0.008308081
0.099;0.322946;-0.00870202
0.132;0.324766;0.010754209
0.165;0.325046;-0.001872054
0.198;0.323821;0.003441919
0.231;0.324993;0.012031145
0.264;0.326218;-0.014609428
0.297;0.323156;-0.020486532
0.33;0.323156;0.014095118
0.363;0.326218;-0.002223906
0.396;0.323366;-0.025274411
0.429;0.322736;-0.004772727
0.462;0.322946;0.01951431
0.495;0.325098;0.016438552
0.528;0.324626;-0.004992424
0.561;0.324363;-0.016139731
0.594;0.322894;-0.00848064
0.627;0.323576;0.006361111
0.66;0.323926;0.006215488
0.693;0.324206;0.000529461
0.726;0.323366;0.008483165
0.759;0.324661;0.019335859
0.792;0.325308;0.011204545
0.825;0.325413;0.00098569
0.858;0.325798;-0.019723064
0.891;0.323453;-0.019631313
0.924;0.323751;0.001534512
0.957;0.323541;0.021190236
0.99;0.326025;0.018777778
1.023;0.325763;-0.010026094
1.056;0.323576;0.004477273
1.089;0.326288;0.013617845
1.122;0.32564;-0.005630471
1.155;0.32529;-0.010759259
1.188;0.325046;-0.017592593
1.221;0.323646;-0.00705303
1.254;0.324066;0.015097643
1.287;0.324906;0.026008418
1.32;0.327233;-0.001906566
1.353;0.325325;-0.04201936
1.386;0.322404;-0.025962963
1.419;0.322596;0.019659091
1.452;0.324538;0.044274411
1.485;0.326708;0.032685185
1.518;0.327233;0.00114899
1.551;0.326428;-0.021004209
1.584;0.325483;-0.029147306
1.617;0.323646;-0.013137205
1.65;0.324521;0.007460438
1.683;0.325255;-0.000123737
1.716;0.323803;0.006495791
1.749;0.32585;0.007031145
1.782;0.325186;-0.01403367
1.815;0.324013;-0.012256734
1.848;0.324153;-0.002161616
1.881;0.324066;0.004038721
1.914;0.323891;0.021367845
1.947;0.32669;0.00721633
1.98;0.324311;-0.007953704
2.013;0.325308;-0.002304714
2.046;0.32522;-0.019356902
2.079;0.323068;-0.009498316
2.112;0.323838;0.018280303
