# posição x = 0.325 m;;
tempo [s];Z [m];w [m/s]
0.033;0.335493;0.050279461
0.066;0.337762;0.028406145
0.099;0.337082;0.020508081
0.132;0.340171;-0.011842593
0.165;0.335982;-0.034244949
0.198;0.336506;-0.015955387
0.231;0.335092;-0.002708754
0.264;0.336034;0.020332492
0.297;0.338548;-0.014590067
0.33;0.333503;-0.009621212
0.363;0.338042;-0.00594697
0.396;0.333102;-0.000706229
0.429;0.337012;0.026605219
0.462;0.337186;-0.006713805
0.495;0.33593;-0.02259596
0.528;0.33469;-0.014132155
0.561;0.33504;-0.000630471
0.594;0.334638;0.011894781
0.627;0.335877;0.018862795
0.66;0.337064;0.001427609
0.693;0.335406;0.000415825
0.726;0.334167;0.065089226
0.759;0.342388;0.059223064
0.792;0.341672;-0.035847643
0.825;0.336541;-0.044691919
0.858;0.336471;-0.003589226
0.891;0.33853;-0.007785354
0.924;0.339456;-0.091912458
0.957;0.326871;-0.03826431
0.99;0.334568;0.074044613
1.023;0.337989;0.030723064
1.056;0.336628;-0.024226431
1.089;0.334917;-0.049995791
1.122;0.333277;-0.054787879
1.155;0.329611;-0.011642256
1.188;0.330466;0.082173401
1.221;0.339141;0.068693603
1.254;0.335424;0.039569865
1.287;0.340328;0.0358367
1.32;0.338112;0.020792929
1.353;0.342999;-0.022965488
1.386;0.337274;-0.080707912
1.419;0.334254;-0.046929293
1.452;0.333905;-0.004154882
1.485;0.335773;0.001074074
1.518;0.334359;-0.009155724
1.551;0.333137;0.02681229
1.584;0.337815;0.023241582
1.617;0.335371;-0.000720539
1.65;0.33586;0.01986532
1.683;0.338775;-0.009950337
1.716;0.334184;-0.011568182
1.749;0.336994;0.011607744
1.782;0.336209;0.007112795
1.815;0.33661;0.023498316
1.848;0.33792;0.027670875
1.881;0.339473;0.00570202
1.914;0.339264;-0.040301347
1.947;0.334935;-0.038044613
1.98;0.335912;-0.010552189
2.013;0.335598;-0.017496633
2.046;0.334516;-0.014029461
2.079;0.335214;-0.020345118
