# posição x = 0.90 m;;
tempo [s];Z [m];w [m/s]
0.033;0.314687;-0.002947811
0.066;0.314704;-0.001691077
0.099;0.313936;0.009978788
0.132;0.315036;0.02670202
0.165;0.316923;0.013234007
0.198;0.316486;-0.014484848
0.231;0.31418;0.001785354
0.264;0.316644;0.018515993
0.297;0.316591;0.005600168
0.33;0.316731;-0.003223064
0.363;0.316486;-0.016074916
0.396;0.315438;-0.019512626
0.429;0.314914;-0.01426431
0.462;0.314215;-0.000705387
0.495;0.315106;0.008990741
0.528;0.314932;0.014928451
0.561;0.315438;0.034176768
0.594;0.318094;0.026164983
0.627;0.318024;-0.003776936
0.66;0.317605;-0.026704545
0.693;0.314897;-0.013268519
0.726;0.316469;0.009436869
0.759;0.316731;0.000395623
0.792;0.316434;-0.007587542
0.825;0.316242;-0.016794613
0.858;0.314355;-0.000797138
0.891;0.316626;0.004748316
0.924;0.315543;-0.011164141
0.957;0.315001;-0.005030303
0.99;0.315106;0.004534512
1.023;0.315351;0.013856902
1.056;0.316137;0.017003367
1.089;0.317081;0.00361532
1.122;0.316486;-0.012751684
1.155;0.315491;-0.009234007
1.188;0.31584;-0.003327441
1.221;0.315403;8.92E-05
1.254;0.316015;-0.00123569
1.287;0.315333;-0.002631313
1.32;0.315491;0.005368687
1.353;0.3157;0.012543771
1.386;0.316539;0.011826599
1.419;0.316906;-0.001795455
1.452;0.316766;-0.02276936
1.485;0.314704;-0.023925084
1.518;0.314303;-0.000734007
1.551;0.315176;0.010422559
1.584;0.315473;0.009718013
1.617;0.315665;0.011234848
1.65;0.315735;0.023267677
1.683;0.317552;0.02468266
1.716;0.318164;0.003974747
1.749;0.317762;-0.016647306
1.782;0.316644;-0.025473906
1.815;0.31577;-0.02313468
1.848;0.314984;-0.014835859
1.881;0.314757;-0.004217172
1.914;0.314635;0.007925926
1.947;0.315281;0.01986532
1.98;0.316242;0.020382155
2.013;0.316696;0.015724747
2.046;0.318304;-0.014790404
2.079;0.315229;-0.031724747
2.112;0.314914;-0.013765993
2.145;0.314897;-0.006058081
2.178;0.31446;0.00577862
2.211;0.314862;0.022982323
2.244;0.316294;0.028382155
2.277;0.318269;-0.005576599
2.31;0.315595;-0.031564815
2.343;0.314547;-0.015029461
2.376;0.315071;-0.005820707
2.409;0.31453;-0.003500842
2.442;0.314372;0.00686532
2.475;0.315176;0.011031987
2.508;0.31584;-0.003470539
2.541;0.314582;-0.009164141
2.574;0.314809;-0.003164983
2.607;0.314442;0.001276936
2.64;0.314966;0.003956229
2.673;0.315298;-0.007244949
2.706;0.313796;-0.000495791
2.739;0.314617;0.018780303
2.772;0.316207;0.00962963
2.805;0.316259;-0.023665825
2.838;0.312695;-0.009618687
2.871;0.315263;0.015710438
2.904;0.315351;0.005094276
2.937;0.314722;0.01514899
2.97;0.315578;0.039591751
3.003;0.318531;0.032338384
3.036;0.318845;-0.006796296
3.069;0.317535;-0.032914983
3.102;0.315927;-0.036337542
3.135;0.314565;-0.019597643
3.168;0.314635;-0.002001684
3.201;0.314722;0.005509259
3.234;0.31563;-0.004733165
3.267;0.314635;-0.019186027
3.3;0.313307;-0.006263468
3.333;0.313709;0.018823232
3.366;0.315788;0.013258418
3.399;0.315141;-0.005742424
3.432;0.314145;0.004367003
3.465;0.314984;0.023705387
3.498;0.317447;0.002483165
3.531;0.315333;-0.024085859
3.564;0.313656;0.004271886
3.597;0.316417;0.016209596
3.63;0.315351;0.012732323
3.663;0.316591;0.020693603
3.696;0.317675;0.002237374
3.729;0.316836;-0.015357744
3.762;0.316067;-0.016487374
3.795;0.314722;0.009175084
3.828;0.317185;0.021206229
3.861;0.3175;-0.003840067
3.894;0.316521;-0.019842593
3.927;0.315665;-0.02152862
3.96;0.314652;-0.008530303
3.993;0.315263;0.000617845
4.026;0.315141;-0.002656566
4.059;0.315124;-0.008352694
4.092;0.314477;-0.009222222
4.125;0.314285;-0.003085017
4.158;0.313639;0.017543771
4.191;0.316364;0.01470202
4.224;0.315298;-0.005555556
4.257;0.314792;0.004360269
4.29;0.315491;0.016929293
4.323;0.316277;0.020178451
4.356;0.317343;0.007398148
4.389;0.316976;-0.011442761
4.422;0.31605;-0.014531987
4.455;0.315613;-0.004691919
4.488;0.315526;0.011056397
4.521;0.316731;0.014612795
4.554;0.31722;-0.001808081
4.587;0.316539;-0.016909091
4.62;0.315386;-0.014559764
4.653;0.315613;-0.009151515
4.686;0.315298;-0.015352694
4.719;0.313534;0.005094276
4.752;0.316155;0.012821549
4.785;0.314704;0.012073232
4.818;0.316452;0.020147306
4.851;0.316853;0.004910774
4.884;0.317011;-0.01538468
4.917;0.31556;-0.029885522
4.95;0.31439;-0.024748316
4.983;0.31425;-0.022939394
5.016;0.312346;-0.003614478
5.049;0.313237;0.032324916
5.082;0.315124;0.049057239
5.115;0.318181;0.020835859
5.148;0.315997;0.002314815
5.181;0.317081;0.014316498
5.214;0.31771;0.008661616
5.247;0.318129;-0.008032828
5.28;0.316871;-0.018310606
5.313;0.316417;-0.015298822
5.346;0.315997;-0.013753367
5.379;0.315875;-0.019012626
5.412;0.314163;-0.011381313
5.445;0.314792;0.007041246
5.478;0.315665;1.43E-05
5.511;0.313639;0.019015152
5.544;0.317552;0.020762626
5.577;0.316102;-0.003410774
5.61;0.31584;0.007943603
5.643;0.316766;0.014372054
5.676;0.31764;0.000632155
5.709;0.316836;-0.015713805
5.742;0.316224;-0.020844276
5.775;0.315071;-0.012192761
5.808;0.315001;0.008781987
5.841;0.315805;0.02453367
5.874;0.317255;0.021534512
5.907;0.31757;0.006781987
5.94;0.317587;-0.006247475
5.973;0.317011;-0.014274411
6.006;0.316452;-0.015101852
6.039;0.315823;-0.009089226
6.072;0.315753;-0.000853535
6.105;0.315823;0.007058081
6.138;0.316644;0.003380471
6.171;0.315421;0.011277778
6.204;0.318024;0.003117845
6.237;0.316644;-0.023160774
6.27;0.314268;0.001160774
6.303;0.315648;0.048734848
6.336;0.322252;-0.019234848
6.369;0.31308;-0.054442761
6.402;0.314757;0.008364478
6.435;0.315438;0.030885522
6.468;0.317675;0.028739057
6.501;0.318094;-0.000986532
6.534;0.31764;-0.029197811
6.567;0.314669;-0.017680135
6.6;0.316207;0.003636364
6.633;0.31598;-0.001484848
6.666;0.31591;-0.003223064
6.699;0.315805;-0.007752525
6.732;0.315141;-0.00377862
6.765;0.315613;0.000222222
6.798;0.315019;0.006512626
6.831;0.315892;0.016267677
6.864;0.317011;0.002577441
6.897;0.315421;0.004127104
6.93;0.317115;0.007070707
6.963;0.316626;-0.007876263
6.996;0.316784;-0.027424242
7.029;0.314128;-0.027344276
7.062;0.314512;-0.01204798
7.095;0.313132;0.00937963
7.128;0.31556;0.019632997
7.161;0.314949;0.014399832
7.194;0.316032;0.020046296
7.227;0.316539;0.01722138
7.26;0.31715;0.014282828
7.293;0.317867;-0.000244108
7.326;0.317203;-0.016423401
7.359;0.316452;-0.023395623
7.392;0.315526;-0.02462037
7.425;0.314635;-0.017523569
7.458;0.314145;-0.003478956
7.491;0.314145;0.014425926
7.524;0.315735;0.016428451
7.557;0.316102;-0.006293771
7.59;0.313953;0.004484007
7.623;0.317115;0.001031987
7.656;0.313796;0.005151515
7.689;0.316172;0.035649832
7.722;0.318164;0.014173401
7.755;0.318076;-0.029947811
7.788;0.31411;-0.024397306
7.821;0.315875;0.001631313
7.854;0.315595;-0.003282828
7.887;0.314704;0.010617845
7.92;0.316853;0.007457071
7.953;0.316486;-0.02571633
7.986;0.313569;-0.020042088
8.019;0.314774;-0.002911616
8.052;0.31439;-0.005704545
8.085;0.313691;0.005324074
8.118;0.31439;0.020118687
8.151;0.316993;-0.011645623
8.184;0.313237;-0.030526936
8.217;0.312416;0.014779461
8.25;0.314757;0.04670202
8.283;0.317517;0.026555556
8.316;0.316696;-0.002883838
8.349;0.316189;-0.00345202
8.382;0.316015;0.010550505
8.415;0.317168;0.017355219
8.448;0.317832;0.005265152
8.481;0.317832;-0.01456229
8.514;0.316032;-0.012499158
8.547;0.316417;0.005782828
8.58;0.317168;0.005015993
8.613;0.317046;-0.006486532
8.646;0.316836;-0.023239899
8.679;0.315718;-0.043126263
8.712;0.313411;-0.04190404
8.745;0.312031;-0.012675084
8.778;0.311804;0.033372054
8.811;0.315543;0.04378367
8.844;0.316766;-0.003292929
8.877;0.313691;-0.013570707
8.91;0.315788;-0.016925926
8.943;0.312835;-0.020207912
8.976;0.312608;0.022339226
9.009;0.315613;0.030854377
9.042;0.315613;0.014840909
9.075;0.315753;0.016060606
9.108;0.316644;0.018203704
9.141;0.317098;0.017393098
9.174;0.317954;0.010819024
9.207;0.318111;-0.003180976
9.24;0.317412;-0.008515993
9.273;0.317185;-0.004218855
9.306;0.317482;-0.007584175
9.339;0.316731;-0.011963805
9.372;0.316452;-0.010322391
9.405;0.316067;-0.008426768
9.438;0.315823;-0.005382997
9.471;0.315875;-0.005063973
9.504;0.3157;-0.009456229
9.537;0.31432;0.007153199
9.57;0.316784;0.006825758
9.603;0.315945;-0.022548822
9.636;0.314355;-0.02851936
9.669;0.313394;-0.01404798
9.702;0.313551;4.38E-05
9.735;0.313097;0.020399832
9.768;0.315875;0.015102694
9.801;0.31411;0.007841751
9.834;0.315526;0.02213468
9.867;0.316294;0.019176768
9.9;0.316417;0.02577862
9.933;0.318111;0.026834175
9.966;0.318635;0.015240741
9.999;0.319055;0.002684343
10.032;0.31916;-0.0188367
10.065;0.317675;-0.033978114
10.098;0.316189;-0.028665825
10.131;0.315491;-0.011515993
10.164;0.3157;-3.37E-05
10.197;0.315036;0.019165825
10.23;0.317797;0.014255051
10.263;0.316906;-0.014677609
10.296;0.31584;-0.019223064
10.329;0.315176;-0.01111532
10.362;0.315456;-0.008394781
10.395;0.314792;-0.009399832
10.428;0.31439;0.000171717
10.461;0.314739;0.01073569
10.494;0.315578;0.009521044
10.527;0.315491;0.003694444
10.56;0.315421;0.008308081
10.593;0.316242;0.008969697
10.626;0.315683;0.017455387
10.659;0.317535;0.020583333
10.692;0.317744;0.005084175
10.725;0.317622;-0.003706229
10.758;0.317185;-0.004792929
