# posição x = 0.35 m;;
tempo [s];Z [m];w [m/s]
0.033;0.335347;0.037575758
0.066;0.334927;0.075531566
0.099;0.342082;0.056843434
0.132;0.341242;-0.02010101
0.165;0.339038;-0.053053872
0.198;0.335032;-0.00936532
0.231;0.338548;0.035122054
0.264;0.338391;0.046401515
0.297;0.343919;-0.003303872
0.33;0.338093;-0.051102694
0.363;0.336641;0.000677609
0.396;0.33951;0.021535354
0.429;0.339983;-0.000361111
0.462;0.338251;0.002860269
0.495;0.338951;0.033840909
0.528;0.342065;0.024188552
0.561;0.341662;-0.014746633
0.594;0.34035;-0.035814815
0.627;0.338023;-0.021877946
0.66;0.338951;-0.002454545
0.693;0.338496;0.002852694
0.726;0.338163;0.027536195
0.759;0.34105;0.027305556
0.792;0.34175;-0.017568182
0.825;0.339353;-0.045109428
0.858;0.336536;-0.012558923
0.891;0.337779;0.042720539
0.924;0.341312;0.044309764
0.957;0.34161;0.012755892
0.99;0.342747;-0.037181818
1.023;0.338881;-0.076664983
1.056;0.335469;-0.050510101
1.089;0.335697;-0.023986532
1.122;0.333475;0.013988215
1.155;0.338076;0.010704545
1.188;0.334612;-0.005580808
1.221;0.336659;0.012208754
1.254;0.335067;0.035695286
1.287;0.337044;0.104887205
1.32;0.34698;0.037445286
1.353;0.339913;-0.043855219
1.386;0.342239;-0.07376431
1.419;0.333807;-0.061917508
1.452;0.335347;0.029746633
1.485;0.339265;0.026627104
1.518;0.337394;0.013891414
1.551;0.340665;-0.017358586
1.584;0.334875;-0.011690236
1.617;0.339126;0.014040404
1.65;0.337813;-0.009164141
1.683;0.337971;-0.010852694
1.716;0.335714;0.012427609
1.749;0.337656;0.061404882
1.782;0.345283;-0.024457071
1.815;0.334315;-0.06485101
1.848;0.335609;0.026398148
1.881;0.3393;0.036388889
1.914;0.340805;-0.023261785
1.947;0.337586;-0.078762626
1.98;0.331936;-0.038065657
2.013;0.333125;0.057117003
2.046;0.340385;0.04012963
2.079;0.335487;0.017439394
2.112;0.338916;0.054882997
2.145;0.343062;-0.005055556
2.178;0.336064;-0.002877104
2.211;0.343114;-0.009132997
2.244;0.337166;-0.051011785
2.277;0.336851;-0.018968013
2.31;0.336781;-0.004417508
2.343;0.336676;0.007292929
2.376;0.336309;0.036524411
2.409;0.342012;-0.005899832
