# posição x = 0.75 m;;
tempo [s];Z [m];w [m/s]
0.033;0.320015;0.012141414
0.066;0.32096;-0.006453283
0.099;0.319963;-0.020959091
0.132;0.318878;-0.016924242
0.165;0.318248;0.003563973
0.198;0.319298;0.020074074
0.231;0.32033;0.015275253
0.264;0.320313;0.008089226
0.297;0.320768;0.003132997
0.33;0.32033;0.004015152
0.363;0.32082;0.008096801
0.396;0.321397;-0.002576599
0.429;0.32138;-0.02873064
0.462;0.318493;-0.028159933
0.495;0.318178;0.00843771
0.528;0.32026;0.013548822
0.561;0.319595;0.004363636
0.594;0.320873;-0.014771044
0.627;0.317583;-0.007191077
0.66;0.319945;0.014272727
0.693;0.319683;0.007113636
0.726;0.319805;0.01114899
0.759;0.320855;0.002406566
0.792;0.320768;-0.023442761
0.825;0.317811;-0.010973906
0.858;0.319753;0.010156566
0.891;0.319385;0.008643939
0.924;0.320313;0.004814815
0.957;0.32012;-0.011066498
0.99;0.31907;-0.012240741
1.023;0.318965;-0.003486532
1.056;0.319053;0.001948653
1.089;0.319018;0.009130471
1.122;0.31963;0.014272727
1.155;0.320278;0.011635522
1.188;0.320785;-0.000755892
1.221;0.319385;0.006936027
1.254;0.32138;0.011340067
1.287;0.320907;-0.002734848
1.32;0.320628;-0.002482323
1.353;0.320523;0.002530303
1.386;0.32089;0.006091751
1.419;0.321362;-0.001425926
1.452;0.320663;-0.005518519
1.485;0.320488;0.003704545
1.518;0.321082;0.009492424
1.551;0.321257;0.009457912
1.584;0.321835;0.002622896
1.617;0.322202;-0.023478956
1.65;0.31998;-0.039473906
1.683;0.318405;-0.023449495
1.716;0.31844;-0.004785354
1.749;0.31872;6.40E-05
1.782;0.318283;0.007118687
1.815;0.318773;0.02156229
1.848;0.320365;0.017408249
1.881;0.32061;-0.006300505
1.914;0.319648;-0.023061448
1.947;0.318773;-0.027849327
1.98;0.317251;-0.014064815
2.013;0.317251;0.016137205
2.046;0.31893;0.028321549
2.079;0.319753;0.022052189
2.112;0.320768;0.002073232
2.145;0.31935;-0.006144781
