# posição x = 0.42 m;;
tempo [s];Z [m];w [m/s]
0.033;0.322038;0.170143098
0.066;0.330126;0.09488468
0.099;0.328148;0.05604899
0.132;0.331981;0.063032828
0.165;0.334012;0.027374579
0.198;0.333679;-0.001774411
0.231;0.333486;-0.021320707
0.264;0.331351;-0.013507576
0.297;0.332664;-0.008106902
0.33;0.331648;-0.023104377
0.363;0.331456;-0.041708754
0.396;0.327465;-0.022673401
0.429;0.328568;0.034316498
0.462;0.331736;0.040606902
0.495;0.331456;0.037117845
0.528;0.333977;0.031425926
0.561;0.334169;0.011000842
0.594;0.334589;-0.006131313
0.627;0.332926;-0.001425084
0.66;0.334887;-0.003824916
0.693;0.332629;-0.007010943
0.726;0.334222;-0.00562963
0.759;0.333399;-0.032078283
0.792;0.330826;-0.028319865
0.825;0.331491;-0.019552189
0.858;0.330756;-0.035007576
0.891;0.326555;0.012625421
0.924;0.332156;0.03823569
0.957;0.332244;-0.010888047
0.99;0.330966;-0.048790404
1.023;0.325084;0.009487374
1.056;0.332944;0.04119697
1.089;0.330668;0.003048822
1.122;0.330353;0.026643939
1.155;0.332769;0.039197811
1.188;0.334852;0.00672138
1.221;0.332104;-0.001930135
1.254;0.334712;-0.010361111
1.287;0.331561;-0.019229798
1.32;0.332944;-0.015781145
1.353;0.331071;-0.026319024
1.386;0.331018;-0.026963805
1.419;0.328848;-0.017222222
1.452;0.328918;0.018132997
1.485;0.331613;0.01129798
1.518;0.329758;0.000956229
1.551;0.331508;-0.007619529
1.584;0.3289;-0.004374579
1.617;0.330983;0.008137205
1.65;0.329478;0.018274411
1.683;0.331981;0.031460438
1.716;0.332804;0.011140572
1.749;0.332524;-0.005118687
1.782;0.331718;-0.002847643
1.815;0.332611;-0.01
1.848;0.331281;-0.016894781
1.881;0.332384;-0.04258165
1.914;0.325277;0.00973569
1.947;0.333819;0.043579966
1.98;0.331543;-0.008469697
2.013;0.330476;0.007666667
2.046;0.332384;0.013771886
2.079;0.331088;0.030052189
2.112;0.335009;0.023162458
2.145;0.334274;-0.024678451
2.178;0.332226;-0.04281734
2.211;0.329793;-0.018376263
2.244;0.331998;-0.017414983
2.277;0.329583;-0.036064815
2.31;0.329303;-0.043039562
2.343;0.324244;0.00762963
2.376;0.330283;0.048575758
2.409;0.331858;-0.017223064
2.442;0.325417;0.006618687
2.475;0.330423;0.069766835
2.508;0.334099;0.022882997
2.541;0.333574;-0.062579125
2.574;0.32988;-0.137189394
2.607;0.317295;-0.02103367
2.64;0.328428;0.101462121
2.673;0.330966;0.047868687
2.706;0.330003;0.019063131
2.739;0.330703;0.022546296
2.772;0.332349;0.011805556
2.805;0.330546;0.022510101
2.838;0.335359;-0.003329966
2.871;0.330336;-0.026548822
2.904;0.330756;0.018588384
2.937;0.333416;0.01848569
2.97;0.333626;-0.01901936
3.003;0.330108;-0.008376263
3.036;0.332174;0.024977273
3.069;0.333259;0.020270202
3.102;0.334344;-0.008564815
3.135;0.332576;-0.035054714
3.168;0.330773;-0.026594276
3.201;0.330283;-0.002560606
3.234;0.331596;-0.003680976
