# posição x = 0.28 m;;
tempo [s];Z [m];w [m/s]
0.033;0.336466;0.132558923
0.066;0.341678;0.10218729
0.099;0.343462;0.073371212
0.132;0.34731;0.028766835
0.165;0.346505;-0.040777778
0.198;0.341766;-0.031886364
0.231;0.34299;0.01405303
0.264;0.344546;0.016691077
0.297;0.345508;-0.016188552
0.33;0.341976;-0.015855219
0.363;0.343042;0.019589226
0.396;0.345508;0.003637205
0.429;0.343462;-0.014498316
0.462;0.342168;0.020666667
0.495;0.345473;0.038845118
0.528;0.347519;-0.011275253
0.561;0.343462;-0.029821549
0.594;0.343497;0.004491582
0.627;0.344179;0.033390572
0.66;0.34682;0.032553872
0.693;0.346453;0.021483165
0.726;0.348307;0.008303872
0.759;0.34724;-0.010792088
0.792;0.346453;-0.001782828
0.825;0.348062;-0.01948064
0.858;0.345858;-0.051160774
0.891;0.344284;-0.065245791
0.924;0.339387;-0.021622896
0.957;0.341661;0.052616162
0.99;0.346383;0.036002525
1.023;0.344406;0.005619529
1.056;0.345036;0.010526094
1.089;0.345403;0.006259259
1.122;0.34696;-0.03077862
1.155;0.343462;-0.06823064
1.188;0.339335;-0.022742424
1.221;0.342413;0.017441077
1.254;0.341573;0.029603535
1.287;0.343987;0.048050505
1.32;0.345963;0.032647306
1.353;0.344581;0.053790404
1.386;0.350405;0.046891414
1.419;0.349356;-0.005252525
1.452;0.349391;-0.043223906
1.485;0.346435;-0.075361111
1.518;0.343287;-0.067995791
1.551;0.340874;-0.028560606
1.584;0.341258;0.016223064
1.617;0.343025;0.032244108
1.65;0.343952;0.027807239
1.683;0.344354;0.028083333
1.716;0.346907;0.002089226
1.749;0.345001;-0.032236532
1.782;0.342098;-0.001515152
1.815;0.345246;0.023477273
1.848;0.34626;-0.014415825
1.881;0.34229;-0.00544697
1.914;0.345473;0.013885522
1.947;0.344354;0.00761532
1.98;0.345386;0.018785354
2.013;0.345788;0.02108165
2.046;0.345596;0.045060606
2.079;0.351332;-9.34343E-05
2.112;0.347694;-0.09065404
2.145;0.341066;-0.069009259
2.178;0.340559;0.021026094
2.211;0.345596;0.03558165
2.244;0.345036;-0.010922559
2.277;0.343515;-0.026
2.31;0.342325;-0.01101431
2.343;0.341521;0.038362795
2.376;0.346295;0.044751684
2.409;0.34668;-0.007048822
2.442;0.345386;-0.045489057
2.475;0.341066;-0.013942761
