# posição x = 0.55 m;;
tempo [s];Z [m];w [m/s]
0.033;0.329064;-0.069217172
0.066;0.326126;-0.040284091
0.099;0.324989;-0.000712626
0.132;0.326616;0.023482323
0.165;0.328137;0.00505303
0.198;0.327001;-0.0173367
0.231;0.326004;-0.015179293
0.264;0.325619;0.001175926
0.297;0.326581;0.005106902
0.33;0.325689;0.013776094
0.363;0.328277;0.003563131
0.396;0.325619;-0.000406566
0.429;0.327106;0.021052189
0.462;0.328907;-0.003273569
0.495;0.326983;-0.029669192
0.528;0.324989;-0.008113636
0.561;0.327385;-0.005796296
0.594;0.324797;-0.005351852
0.627;0.326179;0.012455387
0.66;0.326161;0.013323232
0.693;0.327963;-0.007627946
0.726;0.325776;-0.031755892
0.759;0.32422;-0.012023569
0.792;0.325077;0.005492424
0.825;0.325392;0.00351431
0.858;0.325881;-0.014313973
0.891;0.323625;-0.010964646
0.924;0.3245;0.010171717
0.957;0.324849;0.01778367
0.99;0.326109;0.012337542
1.023;0.325776;0.000177609
1.056;0.326074;-0.008814815
1.089;0.325217;-0.015683502
1.122;0.323922;0.007595118
1.155;0.325969;0.021451178
1.188;0.326266;0.009611111
1.221;0.327455;-0.024183502
1.254;0.323748;-0.032234848
1.287;0.323783;0.003427609
1.32;0.324412;0.026512626
1.353;0.326284;0.026511785
1.386;0.327875;-0.018188552
1.419;0.324062;-0.033612795
1.452;0.32324;0.012752525
1.485;0.325689;0.043227273
1.518;0.32798;0.023203704
1.551;0.326476;0.013208754
1.584;0.329327;-0.008683502
1.617;0.326284;-0.035748316
1.65;0.325024;-0.012367845
1.683;0.325969;-0.000159091
1.716;0.325759;-0.005460438
1.749;0.325322;-0.005079966
1.782;0.325409;-0.004888047
1.815;0.324465;0.008479798
1.848;0.326651;0.003822391
1.881;0.325199;-0.010501684
1.914;0.325024;-0.001767677
1.947;0.324412;0.021082492
1.98;0.327735;0.013058923
2.013;0.326196;-0.020522727
2.046;0.324307;-0.003622896
2.079;0.326808;-0.004034512
2.112;0.324307;-0.006243266
2.145;0.324884;0.027544613
2.178;0.326878;0.040765152
2.211;0.328382;0.029752525
2.244;0.329169;0.004697811
2.277;0.329169;-0.032793771
2.31;0.326179;-0.045382997
2.343;0.325479;-0.03515404
2.376;0.323538;-0.014247475
2.409;0.32457;0.004504209
2.442;0.324972;-0.006450337
2.475;0.324045;-0.015987374
2.508;0.322926;-0.001504209
2.541;0.324377;0.00413468
2.574;0.323538;0.000867003
2.607;0.324097;0.004534512
2.64;0.32422;-0.001703704
2.673;0.323713;-0.000622896
2.706;0.324167;-0.000478114
2.739;0.323922;-0.00501936
2.772;0.3238;-0.008505892
2.805;0.322908;-0.000823232
2.838;0.323975;0.002279461
2.871;0.32331;-0.000121212
2.904;0.32345;0.008375421
2.937;0.324062;0.009996633
2.97;0.324919;-0.009489899
3.003;0.323258;-0.022297138
3.036;0.322786;-0.015840909
3.069;0.321264;0.016603535
3.102;0.324552;0.034273569
3.135;0.32429;0.030135522
3.168;0.325654;0.04312963
3.201;0.328137;0.029794613
3.234;0.32805;0.003016835
3.267;0.327385;-0.002888047
3.3;0.329099;-0.035302189
3.333;0.324307;-0.044590909
3.366;0.324272;-0.006107744
3.399;0.325234;-0.000733165
3.432;0.324972;-0.013044613
3.465;0.324167;-0.021409091
3.498;0.322348;0.003845118
3.531;0.324185;0.032801347
3.564;0.325601;0.029607744
3.597;0.327753;-0.017162458
3.63;0.323905;-0.048717172
3.663;0.322558;-0.024744949
3.696;0.322104;0.009510943
3.729;0.323555;0.035109428
3.762;0.325007;0.039349327
3.795;0.326773;0.022285354
3.828;0.326843;-0.006095118
3.861;0.326126;-0.028810606
3.894;0.324342;-0.033138889
3.927;0.324132;-0.03501936
3.96;0.321212;-0.013206229
3.993;0.322243;0.030073232
4.026;0.325059;0.023148148
4.059;0.325287;-0.021270202
4.092;0.321981;-0.023127104
4.125;0.321929;0.022097643
4.158;0.324587;0.040807239
4.191;0.326406;0.012427609
4.224;0.3245;0.002751684
4.257;0.325916;0.010511785
4.29;0.325567;0.010967172
4.323;0.326668;0.009082492
4.356;0.326686;-0.007090909
4.389;0.326109;-0.019313131
4.422;0.32464;-0.011914141
4.455;0.325304;-0.001036195
4.488;0.325129;-0.003237374
4.521;0.32443;0.009274411
4.554;0.326091;0.010433502
4.587;0.325776;-0.005387205
4.62;0.325584;-0.019223064
4.653;0.32422;-0.02527862
4.686;0.323922;-0.025819024
4.719;0.322104;-0.015996633
4.752;0.322034;0.012819865
4.785;0.324797;-0.002037879
4.818;0.321841;-0.015860269
4.851;0.321456;0.025058923
4.884;0.325182;0.024925084
4.917;0.323887;0.005404882
4.95;0.324465;0.005877946
4.983;0.324657;-0.001074074
5.016;0.325112;-0.021478114
5.049;0.321719;-0.004257576
5.082;0.324587;0.018251684
5.115;0.324447;0.003208754
5.148;0.324762;-0.008333333
5.181;0.322838;0.005797138
5.214;0.323992;0.050113636
5.247;0.328085;0.041473064
5.28;0.32749;0.009218855
5.313;0.328575;-0.021919192
5.346;0.325339;-0.032302189
5.379;0.325339;-0.011570707
5.412;0.325549;-0.013292088
5.445;0.324657;-0.01913468
5.478;0.323608;-0.009154882
5.511;0.324115;-5.98E-05
5.544;0.323748;0.006088384
5.577;0.324744;0.006589226
5.61;0.323957;0.012180976
5.643;0.325182;0.024888889
5.676;0.326354;0.016741582
5.709;0.326826;-0.008906566
5.742;0.325497;-0.027619529
5.775;0.325217;-0.047144781
5.808;0.320984;-0.027059764
5.841;0.322961;0.008271886
5.874;0.322558;0.017780303
5.907;0.3238;0.033389731
5.94;0.325409;0.025381313
5.973;0.325514;0.017491582
6.006;0.327333;-0.010862795
6.039;0.323363;-0.002973906
6.072;0.327333;0.000866162
6.105;0.324482;-0.020139731
6.138;0.324972;-0.014545455
6.171;0.323555;-0.010363636
6.204;0.32408;0.002034512
6.237;0.324185;0.003989899
6.27;0.32394;0.016871212
6.303;0.324325;0.050861953
6.336;0.328662;0.048255892
6.369;0.328592;0.014181818
6.402;0.328785;-0.001335017
6.435;0.328575;-0.018785354
6.468;0.326931;-0.01808165
6.501;0.328085;-0.03370202
6.534;0.324552;-0.042236532
6.567;0.32422;-0.022538721
6.6;0.323223;-0.002977273
6.633;0.324307;0.010818182
6.666;0.32345;0.03084596
6.699;0.327071;0.027147306
6.732;0.326808;-0.017757576
6.765;0.325234;-0.041335859
6.798;0.322471;-0.02269697
6.831;0.322681;0.024821549
6.864;0.326546;0.011731481
6.897;0.32387;-0.014898148
6.93;0.323713;0.002837542
6.963;0.324744;0.005930976
6.996;0.32408;0.009646465
7.029;0.325584;0.006392256
7.062;0.325147;-0.011583333
7.095;0.323468;0.006228114
7.128;0.325532;0.020679293
7.161;0.325671;0.01218771
7.194;0.327753;-0.029824074
7.227;0.322506;-0.039738215
7.26;0.322523;0.015853535
7.293;0.325549;0.023114478
7.326;0.325759;-0.012296296
7.359;0.3231;-0.012766835
7.392;0.324307;0.004933502
7.425;0.324587;-0.003414983
7.458;0.32331;0.006096801
7.491;0.325374;0.004805556
7.524;0.323853;-5.81E-05
7.557;0.324622;0.012332492
7.59;0.325024;0.014356061
7.623;0.326144;0.002888889
7.656;0.325112;-0.008542088
7.689;0.324954;-0.002796296
7.722;0.325497;-0.008361111
7.755;0.323765;0.001320707
7.788;0.325374;0.016722222
7.821;0.326126;-4.72E-17
7.854;0.324272;0.010885522
7.887;0.327246;0.009544613
7.92;0.324972;0.007390572
7.953;0.327823;0.003414983
7.986;0.325322;-0.004496633
8.019;0.326563;0.010787879
8.052;0.327228;-0.00397138
8.085;0.326476;-0.018191077
8.118;0.324675;0.000679293
8.151;0.325829;0.036641414
8.184;0.32889;0.025477273
8.217;0.328207;-0.006984848
8.25;0.32763;-0.019313973
8.283;0.326476;-0.015856061
8.316;0.325776;0.008037037
8.349;0.327805;0.010247475
8.382;0.327945;-0.026191919
8.415;0.324849;-0.031829125
8.448;0.325164;-0.0153367
8.481;0.3238;0.002845118
8.514;0.325007;0.025718855
8.547;0.32784;-0.012280303
8.58;0.323765;-0.038955387
8.613;0.32324;-0.016323232
8.646;0.323433;-0.006015993
8.679;0.323643;-0.013443603
8.712;0.321194;0.008635522
8.745;0.324779;0.017342593
8.778;0.323328;0.000560606
8.811;0.32359;0.011833333
8.844;0.324989;0.002090067
8.877;0.323625;-0.002796296
8.91;0.323765;0.015132155
8.943;0.325636;0.007006734
8.976;0.324884;-0.014670875
9.009;0.323783;-0.013952862
9.042;0.322768;0.016914983
9.075;0.325864;0.025955387
9.108;0.325549;0.006742424
9.141;0.325007;0.017532828
9.174;0.327018;0.018489899
9.207;0.326756;0.006990741
9.24;0.3277;-0.009191077
9.273;0.325636;-0.013011785
9.306;0.325829;0.007850168
9.339;0.327735;-0.011656566
9.372;0.325462;-0.040351852
9.405;0.323905;-0.041021044
9.438;0.322348;-0.026441077
9.471;0.322611;-0.016857744
9.504;0.320494;0.011349327
9.537;0.322873;0.0485867
9.57;0.325217;0.042219697
9.603;0.326423;0.013245791
9.636;0.326126;-0.019565657
9.669;0.323922;-0.018546296
9.702;0.324902;-0.014112795
9.735;0.323083;-0.00965404
9.768;0.32422;-0.003175926
9.801;0.322926;0.003430976
9.834;0.323783;0.027537879
9.867;0.324919;0.042143939
9.9;0.327403;0.033476431
9.933;0.328312;-0.007920034
9.966;0.325549;-0.016218855
9.999;0.326861;-0.011674242
10.032;0.325234;-0.013779461
10.065;0.325217;0.001855219
10.098;0.325654;0.007238215
10.131;0.326423;-0.005401515
10.164;0.325287;-0.018664141
10.197;0.324447;-0.010214646
10.23;0.32443;0.002419192
10.263;0.3245;0.016460438
10.296;0.327001;-0.00733165
10.329;0.323678;-0.02237963
10.362;0.32401;0.001117845
10.395;0.324395;0.010350168
10.428;0.325077;0.00898064
10.461;0.325147;-0.001117845
10.494;0.325287;-0.017607744
10.527;0.323748;-0.024238215
10.56;0.322733;-0.005322391
10.593;0.3231;0.020816498
10.626;0.325409;0.012400673
10.659;0.32429;-0.006079966
10.692;0.324307;-0.005728114
10.725;0.323048;0.016003367
10.758;0.325584;0.032695286
10.791;0.326948;0.004383838
10.824;0.324954;-0.003122054
10.857;0.326091;0.004225589
10.89;0.326056;-0.005610269
10.923;0.325636;-0.01168771
10.956;0.324622;-0.001484007
10.989;0.325374;0.015223064
11.022;0.326126;0.018624579
11.055;0.326476;0.025999158
11.088;0.328085;0.023138889
11.121;0.327455;0.029690236
11.154;0.331635;-0.005490741
11.187;0.327525;-0.050888889
11.22;0.326301;-0.044349327
11.253;0.324675;-0.034711279
11.286;0.323975;-0.017210438
11.319;0.323398;0.003681818
11.352;0.323713;0.03328367
11.385;0.326336;0.042144781
11.418;0.32805;0.008566498
11.451;0.325549;0.005813131
11.484;0.328557;-0.000942761
11.517;0.326126;-0.021534512
11.55;0.326686;-0.029469697
11.583;0.324115;-0.035463805
11.616;0.323608;-0.018994949
11.649;0.323485;-0.01871633
11.682;0.322051;-0.009645623
11.715;0.323135;-0.008479798
11.748;0.321404;-0.003459596
11.781;0.322418;0.014484848
11.814;0.322558;0.026059764
11.847;0.324307;0.031098485
11.88;0.325357;0.01454798
11.913;0.325234;-0.001793771
11.946;0.32471;-0.002367845
11.979;0.324902;0.002560606
12.012;0.324465;0.017707912
12.045;0.327158;0.007180135
12.078;0.324832;-0.003007576
12.111;0.325601;0.020005892
12.144;0.32784;0.002021886
12.177;0.325217;-0.004946128
12.21;0.326983;-0.002991582
12.243;0.326563;-0.036313973
12.276;0.323783;-0.046544613
12.309;0.322104;-0.021468855
12.342;0.322838;-0.003702862
12.375;0.322488;-0.001446128
12.408;0.322208;0.011723906
12.441;0.323433;0.018366162
12.474;0.323748;0.017960438
12.507;0.324797;0.012892256
12.54;0.32387;0.024140572
12.573;0.326563;0.028328283
12.606;0.327036;-0.000347643
12.639;0.326354;-0.022013468
12.672;0.324237;-0.009088384
12.705;0.325164;0.020481481
12.738;0.327106;0.011748316
12.771;0.326266;-0.007308081
12.804;0.325811;-0.007893939
12.837;0.325671;-0.006385522
12.87;0.325689;-0.010490741
12.903;0.325392;-0.024073232
12.936;0.32324;-0.014094276
12.969;0.324027;0.00720202
13.002;0.324185;0.015461279
13.035;0.325724;0.005826599
13.068;0.324744;-0.009127104
13.101;0.323975;0.005747475
13.134;0.325287;0.017976431
13.167;0.325619;0.018886364
13.2;0.326441;0.017754209
13.233;0.327193;0.005007576
13.266;0.327141;-0.017623737
13.299;0.325339;-0.021337542
13.332;0.325776;-0.021639731
13.365;0.323363;-0.00604798
13.398;0.324867;0.020607744
13.431;0.326091;0.012038721
13.464;0.325881;-0.002267677
13.497;0.324954;0.00677862
13.53;0.326179;0.016775253
13.563;0.326966;0.002238215
13.596;0.327613;-0.041311448
13.629;0.322716;-0.045217172
13.662;0.322348;0.011302189
13.695;0.325619;0.01664899
13.728;0.323887;0.007979798
13.761;0.325444;0.010207912
13.794;0.325357;-0.007244949
13.827;0.324744;-0.013987374
13.86;0.32387;-0.006178451
13.893;0.323363;0.028165825
13.926;0.326896;0.033843434
13.959;0.325916;0.026308081
13.992;0.328068;0.030840909
14.025;0.329379;-0.001419192
14.058;0.326528;0.001665825
14.091;0.329939;-0.006987374
14.124;0.327001;-0.035510101
14.157;0.326056;-0.024175084
14.19;0.325479;-0.015144781
14.223;0.325287;-0.009728114
14.256;0.325462;-0.019628788
14.289;0.323485;-0.017068182
14.322;0.32331;0.010441919
14.355;0.325462;0.007792088
14.388;0.324045;-0.002238215
14.421;0.32415;0.013824074
14.454;0.326109;0.001483165
14.487;0.324237;-0.007362795
14.52;0.324832;0.001902357
14.553;0.32408;0.017448653
14.586;0.327001;0.008510101
14.619;0.325147;-0.017964646
14.652;0.324587;-0.014593434
14.685;0.325479;-0.038397306
14.718;0.321019;-0.029784512
14.751;0.321701;0.024159933
14.784;0.323835;0.045978956
14.817;0.326021;0.030170875
14.85;0.326319;-0.005367845
14.883;0.325322;-0.031166667
14.916;0.323643;-0.035396465
14.949;0.322191;-0.013198653
14.982;0.322383;0.018045455
15.015;0.323957;0.032659091
15.048;0.326074;0.008369529
15.081;0.323573;0.005330808
15.114;0.325077;0.035758418
15.147;0.327508;0.027367003
15.18;0.327036;0.012198653
15.213;0.328137;-0.002036195
15.246;0.327263;-0.022717172
15.279;0.325846;-0.021173401
15.312;0.325601;-0.012173401
15.345;0.325444;-0.011053872
15.378;0.324919;-0.009800505
15.411;0.324325;0.001814815
15.444;0.324832;0.016428451
15.477;0.326581;0.000423401
15.51;0.325129;-0.020628788
15.543;0.324027;-0.011272727
15.576;0.323643;0.018008418
15.609;0.326371;0.01804798
15.642;0.325444;0.000311448
15.675;0.325934;-0.007857744
15.708;0.32464;-0.008275253
15.741;0.325339;-0.005345118
15.774;0.32464;-0.012103535
15.807;0.324307;-0.013547138
15.84;0.323975;-0.019048822
15.873;0.322838;-0.017117845
15.906;0.322034;0.004287879
15.939;0.323748;0.008520202
15.972;0.32345;-0.009526094
16.005;0.322786;-0.019018519
16.038;0.321509;-0.009244949
16.071;0.321754;0.01225
16.104;0.322891;0.020106902
16.137;0.32373;0.012288721
16.17;0.322733;0.02687037
16.203;0.325217;0.045142256
16.236;0.327141;0.025571549
16.269;0.327543;-0.012561448
16.302;0.325409;-0.0286633
16.335;0.325147;-0.028116162
16.368;0.323608;-0.023776936
16.401;0.323328;-0.010472222
16.434;0.322593;0.008993266
16.467;0.324115;0.023804714
16.5;0.325199;0.010657407
16.533;0.323975;0.016677609
16.566;0.326493;0.016811448
16.599;0.325549;0.00565404
16.632;0.326458;0.003552189
16.665;0.326144;-0.008253367
16.698;0.325724;-0.013159933
16.731;0.325147;-0.014720539
16.764;0.3245;-0.007673401
16.797;0.324762;-0.004364478
16.83;0.324132;8.50E-05
16.863;0.325269;-0.006815657
16.896;0.323485;-0.007947811
16.929;0.32373;0.015859428
16.962;0.325322;0.018753367
16.995;0.325601;0.004973064
17.028;0.325444;-0.005414983
17.061;0.324832;-0.004239899
17.094;0.324989;0.003978114
17.127;0.325217;0.00777862
17.16;0.325532;0.009345118
17.193;0.326598;-0.008598485
17.226;0.3245;-0.013556397
17.259;0.324972;0.002146465
17.292;0.324797;0.016071549
17.325;0.325951;0.031132997
17.358;0.32735;0.029564815
17.391;0.32833;0.012047138
17.424;0.328435;-0.012751684
17.457;0.32777;-0.039975589
17.49;0.323887;-0.016989057
