# posição x = 1.0 m
tempo [s];Z [m];w [m/s]
0.033;0.31349;0.022636364
0.066;0.314206;0.020643939
0.099;0.315079;0.013933838
0.132;0.315725;-0.006728114
0.165;0.314346;-0.019368687
0.198;0.313752;-0.012444444
0.231;0.313456;-0.001527778
0.264;0.313822;0.005609428
0.297;0.314014;0.006495791
0.33;0.314276;0.0063367
0.363;0.314416;0.012474747
0.396;0.314503;0.028984007
0.429;0.315323;0.063941077
0.462;0.322672;-0.001956229
0.495;0.315096;-0.065650673
0.528;0.314677;-0.034082492
0.561;0.313613;-0.015306397
0.594;0.313595;0.009640572
0.627;0.315411;-0.000455387
0.66;0.313281;-0.003723064
0.693;0.314555;0.005712121
0.726;0.314136;0.00285101
0.759;0.315271;-0.012975589
0.792;0.313106;-0.023893939
0.825;0.312879;-0.01127862
0.858;0.312164;0.007546296
0.891;0.313613;0.019927609
0.924;0.314189;0.011313131
0.957;0.314381;0.001773569
0.99;0.314049;-0.001063131
1.023;0.313752;0.010123737
1.056;0.315114;0.010771044
1.089;0.315236;-0.007659091
1.122;0.314066;-0.011606902
1.155;0.31377;0.003585859
1.188;0.314328;0.01970202
1.221;0.315515;0.022354377
1.254;0.316179;0.01198064
1.287;0.316598;-0.007159091
1.32;0.31548;-0.019483165
1.353;0.3148;-0.017023569
1.386;0.314259;-0.009727273
1.419;0.314311;-0.006510943
1.452;0.313805;-0.003455387
1.485;0.314468;-0.008731481
1.518;0.312827;-0.004333333
1.551;0.313578;0.013784512
1.584;0.314887;0.00443771
1.617;0.313927;-0.005714646
1.65;0.313264;0.013159933
1.683;0.315288;0.019433502
1.716;0.315515;0.001766835
1.749;0.315079;-0.008412458
1.782;0.314259;0.008082492
1.815;0.314922;0.037241582
1.848;0.315672;0.082311448
1.881;0.325832;-0.011005051
1.914;0.314782;-0.09859596
1.947;0.313106;-0.027030303
1.98;0.314643;0.012540404
2.013;0.315411;0.016455387
2.046;0.316074;0.000760943
2.079;0.316109;-0.030830808
2.112;0.312443;-0.020061448
2.145;0.314328;0.00243771
2.178;0.313944;-0.005314815
2.211;0.313997;-0.014016835
2.244;0.311797;0.006975589
2.277;0.314712;0.023218013
2.31;0.313962;0.021394781
2.343;0.316126;0.016089226
2.376;0.315655;-0.007329125
2.409;0.315114;-0.017588384
2.442;0.314468;-0.025628788
2.475;0.313595;-0.031962121
2.508;0.311343;-0.01229798
2.541;0.312286;0.019572391
2.574;0.314293;0.009670875
2.607;0.31281;-2.86E-05
2.64;0.313525;0.009270202
2.673;0.313822;0.011113636
2.706;0.313613;0.027170875
2.739;0.316231;0.022893939
2.772;0.316441;-0.01378367
2.805;0.31466;-0.032037879
2.838;0.312757;-0.008537037
2.871;0.314154;0.016265993
2.904;0.314939;0.012079125
2.937;0.315149;-0.001011785
2.97;0.31466;-0.010741582
3.003;0.314346;-0.014770202
3.036;0.31349;-0.012342593
3.069;0.312967;0.005939394
3.102;0.314468;0.00915404
3.135;0.313473;0.012153199
3.168;0.315533;0.006392256
3.201;0.314538;-0.015578283
3.234;0.31363;-0.015227273
3.267;0.31349;-0.012972222
3.3;0.313037;-0.014692761
3.333;0.312303;-0.01069697
3.366;0.312164;-0.001744949
3.399;0.312164;0.00718266
3.432;0.312757;0.011755051
3.465;0.313508;0.001680135
3.498;0.312618;-0.001173401
3.531;0.31281;0.018260943
3.564;0.313473;0.048571549
3.597;0.314904;0.101490741
3.63;0.322568;0.081463805
3.663;0.322515;-0.001570707
3.696;0.322219;-0.077964646
3.729;0.314852;-0.083260943
3.762;0.314904;-0.030475589
3.795;0.314241;-0.008077441
3.828;0.314311;0.013169192
3.861;0.315533;0.014446128
3.894;0.315917;-0.003156566
3.927;0.31583;-0.034088384
3.96;0.312845;-0.042587542
3.993;0.312216;-0.025645623
4.026;0.311413;-0.010034512
4.059;0.310977;0.017794613
4.092;0.312897;0.034099327
4.125;0.314904;0.006697811
4.158;0.312565;-0.002758418
4.191;0.313927;0.008569865
4.224;0.313508;0.013943603
4.257;0.31466;0.023947811
4.29;0.315323;0.023319865
4.323;0.316598;0.011767677
4.356;0.316667;-0.014566498
4.389;0.314712;-0.017013468
4.422;0.315236;-0.009989899
4.455;0.31459;-0.013753367
4.488;0.314014;-0.008978956
4.521;0.313787;0.000849327
4.554;0.314101;0.010048822
4.587;0.314677;0.012125421
4.62;0.315201;0.005324916
4.653;0.314957;-0.0018367
4.686;0.315009;-0.006339226
4.719;0.314869;-0.016828283
4.752;0.313071;-0.00659596
4.785;0.314328;0.007058923
4.818;0.314538;-0.003229798
4.851;0.313403;0.001953704
4.884;0.31459;0.005925084
4.917;0.3148;-0.012282828
4.95;0.313508;-0.022031987
4.983;0.311884;0.004434343
5.016;0.314241;0.020276936
5.049;0.31452;0.002643939
5.082;0.314101;-0.009501684
5.115;0.313386;-0.009959596
5.148;0.313403;-0.005393939
5.181;0.313316;-0.00768771
5.214;0.312303;0.003686027
5.247;0.314136;-5.22E-05
5.28;0.312618;-0.011191077
5.313;0.31274;-0.00421633
5.346;0.312234;0.007563131
5.379;0.312792;0.030939394
5.412;0.314782;0.034706229
5.445;0.316161;0.010260943
5.478;0.316179;-0.031146465
5.511;0.311815;-0.013728114
5.544;0.314782;0.020079966
5.577;0.314904;0.010167508
5.61;0.314817;0.011126263
5.643;0.316301;-0.007818182
5.676;0.314485;-0.027623737
5.709;0.313351;-0.017719697
5.742;0.313141;-0.002483165
5.775;0.313665;0.003854377
5.808;0.31377;0.000750842
5.841;0.31267;0.020145623
5.874;0.315446;0.0284133
5.907;0.316283;-0.006426768
5.94;0.314136;-0.019156566
5.973;0.313805;-0.00110101
6.006;0.31452;0.00808165
6.039;0.314992;-0.000897306
6.072;0.314555;-0.011921717
6.105;0.313944;-0.014165825
6.138;0.312338;0.016165825
6.171;0.31562;0.030201178
6.204;0.31576;0.005511785
6.237;0.315498;-0.009540404
6.27;0.314974;-0.019356061
